omrade,ar,versjon,value
Norge,2000,Registrerte,4478497
Norge,2001,Registrerte,4503436
Norge,2002,Registrerte,4524066
Norge,2003,Registrerte,4552252
Norge,2004,Registrerte,4577457
Norge,2005,Registrerte,4606363
Norge,2006,Registrerte,4640219
Norge,2007,Registrerte,4681134
Norge,2008,Registrerte,4737171
Norge,2009,Registrerte,4799252
Norge,2010,Registrerte,4858199
Norge,2011,Registrerte,4920305
Norge,2012,Registrerte,4985870
Norge,2013,Registrerte,5051275
Norge,2014,Registrerte,5109056
Norge,2015,Registrerte,5165802
Norge,2016,Registrerte,5213985
Norge,2017,Registrerte,5258317
Norge,2018,Registrerte,5295619
Norge,2019,Registrerte,5328212
Norge,2020,Registrerte,5367580
Norge,2021,Registrerte,5391369
Norge,2022,Registrerte,5425270
Norge,2023,Registrerte,5488984
Norge,2024,Registrerte,NA
Norge,2025,Registrerte,NA
Norge,2026,Registrerte,NA
Norge,2027,Registrerte,NA
Norge,2028,Registrerte,NA
Norge,2029,Registrerte,NA
Norge,2030,Registrerte,NA
Norge,2031,Registrerte,NA
Norge,2032,Registrerte,NA
Norge,2033,Registrerte,NA
Norge,2034,Registrerte,NA
Norge,2035,Registrerte,NA
Norge,2000,Hovedalternativet,NA
Norge,2001,Hovedalternativet,NA
Norge,2002,Hovedalternativet,NA
Norge,2003,Hovedalternativet,NA
Norge,2004,Hovedalternativet,NA
Norge,2005,Hovedalternativet,NA
Norge,2006,Hovedalternativet,NA
Norge,2007,Hovedalternativet,NA
Norge,2008,Hovedalternativet,NA
Norge,2009,Hovedalternativet,NA
Norge,2010,Hovedalternativet,NA
Norge,2011,Hovedalternativet,NA
Norge,2012,Hovedalternativet,NA
Norge,2013,Hovedalternativet,NA
Norge,2014,Hovedalternativet,NA
Norge,2015,Hovedalternativet,NA
Norge,2016,Hovedalternativet,NA
Norge,2017,Hovedalternativet,NA
Norge,2018,Hovedalternativet,NA
Norge,2019,Hovedalternativet,NA
Norge,2020,Hovedalternativet,NA
Norge,2021,Hovedalternativet,NA
Norge,2022,Hovedalternativet,NA
Norge,2023,Hovedalternativet,5488984
Norge,2024,Hovedalternativet,5511434
Norge,2025,Hovedalternativet,5535390
Norge,2026,Hovedalternativet,5559813
Norge,2027,Hovedalternativet,5584778
Norge,2028,Hovedalternativet,5610035
Norge,2029,Hovedalternativet,5635498
Norge,2030,Hovedalternativet,5660704
Norge,2031,Hovedalternativet,5685526
Norge,2032,Hovedalternativet,5709850
Norge,2033,Hovedalternativet,5733853
Norge,2034,Hovedalternativet,5757504
Norge,2035,Hovedalternativet,5780690
Norge,2000,Lav nasjonal vekst,NA
Norge,2001,Lav nasjonal vekst,NA
Norge,2002,Lav nasjonal vekst,NA
Norge,2003,Lav nasjonal vekst,NA
Norge,2004,Lav nasjonal vekst,NA
Norge,2005,Lav nasjonal vekst,NA
Norge,2006,Lav nasjonal vekst,NA
Norge,2007,Lav nasjonal vekst,NA
Norge,2008,Lav nasjonal vekst,NA
Norge,2009,Lav nasjonal vekst,NA
Norge,2010,Lav nasjonal vekst,NA
Norge,2011,Lav nasjonal vekst,NA
Norge,2012,Lav nasjonal vekst,NA
Norge,2013,Lav nasjonal vekst,NA
Norge,2014,Lav nasjonal vekst,NA
Norge,2015,Lav nasjonal vekst,NA
Norge,2016,Lav nasjonal vekst,NA
Norge,2017,Lav nasjonal vekst,NA
Norge,2018,Lav nasjonal vekst,NA
Norge,2019,Lav nasjonal vekst,NA
Norge,2020,Lav nasjonal vekst,NA
Norge,2021,Lav nasjonal vekst,NA
Norge,2022,Lav nasjonal vekst,NA
Norge,2023,Lav nasjonal vekst,5488984
Norge,2024,Lav nasjonal vekst,5464158
Norge,2025,Lav nasjonal vekst,5473495
Norge,2026,Lav nasjonal vekst,5482414
Norge,2027,Lav nasjonal vekst,5490340
Norge,2028,Lav nasjonal vekst,5497527
Norge,2029,Lav nasjonal vekst,5503826
Norge,2030,Lav nasjonal vekst,5508990
Norge,2031,Lav nasjonal vekst,5512969
Norge,2032,Lav nasjonal vekst,5515632
Norge,2033,Lav nasjonal vekst,5517185
Norge,2034,Lav nasjonal vekst,5517705
Norge,2035,Lav nasjonal vekst,5517010
Norge,2000,Høy nasjonal vekst,NA
Norge,2001,Høy nasjonal vekst,NA
Norge,2002,Høy nasjonal vekst,NA
Norge,2003,Høy nasjonal vekst,NA
Norge,2004,Høy nasjonal vekst,NA
Norge,2005,Høy nasjonal vekst,NA
Norge,2006,Høy nasjonal vekst,NA
Norge,2007,Høy nasjonal vekst,NA
Norge,2008,Høy nasjonal vekst,NA
Norge,2009,Høy nasjonal vekst,NA
Norge,2010,Høy nasjonal vekst,NA
Norge,2011,Høy nasjonal vekst,NA
Norge,2012,Høy nasjonal vekst,NA
Norge,2013,Høy nasjonal vekst,NA
Norge,2014,Høy nasjonal vekst,NA
Norge,2015,Høy nasjonal vekst,NA
