"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)",value,n,kategori
Aldring av befolkningen,2.64,395,Nav som helhet
Økt arbeidsinnvandring,1.93,395,Nav som helhet
Flere flyktninger,2.17,395,Nav som helhet
Grønt skifte og klimautfordringer,2.1,395,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.64,395,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.64,395,Nav som helhet
Flere med fysiske og psykiske lidelser,2.47,395,Nav som helhet
Flere unge i utenforskap,2.62,395,Nav som helhet
Flere fattige,2.3,395,Nav som helhet
Innstramming/effektivisering av off. sektor,2.52,395,Nav som helhet
Lavere tillit til offentlig sektor,1.83,395,Nav som helhet
Økte forventninger til brukermedvirkning,2.41,395,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.73,395,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.56,395,Nav som helhet
Sentralisering av offentlige tjenester,2.11,395,Nav som helhet
Flere internasjonale konflikter/kriger,2.1,395,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.47,395,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.31,395,Nav som helhet
Økt mangel på arbeidskraft,2.56,395,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,1.95,395,Nav som helhet
NAV-kontor,NA,NA,Nav som helhet
Aldring av befolkningen,2.56,1777,Nav som helhet
Økt arbeidsinnvandring,2,1777,Nav som helhet
Flere flyktninger,2.27,1777,Nav som helhet
Grønt skifte og klimautfordringer,2.06,1777,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.57,1777,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.52,1777,Nav som helhet
Flere med fysiske og psykiske lidelser,2.62,1777,Nav som helhet
Flere unge i utenforskap,2.59,1777,Nav som helhet
Flere fattige,2.46,1777,Nav som helhet
Innstramming/effektivisering av off. sektor,2.54,1777,Nav som helhet
Lavere tillit til offentlig sektor,1.92,1777,Nav som helhet
Økte forventninger til brukermedvirkning,2.37,1777,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.67,1777,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.52,1777,Nav som helhet
Sentralisering av offentlige tjenester,2.22,1777,Nav som helhet
